    2 1 2  24 2 -1 0-1.
    3 1 2  24 2 -1 0-1.
    3 2 2  24 1 20 0 0.
    4 1 2  24 2 -1 0-1.
    4 2 2  24 2 -1 0-1.
    9 1 2  24 2 -1 0-1.
    9 2 2  24 1 20 0 0.
   19 1 2  24 2 -1 0-1.
   28 1 2  24 2 -1 0-1.
   28 2 2  24 2 -1 0-1.
   29 1 2  24 2 -1 0-1.
   29 2 2  24 2 -1 0-1.
   30 1 2  24 2 -1 0-1.
   30 2 2  24 2 -1 0-1.
   30 3 2  24 2 -1 0-1.
   32 1 2  24 2 -1 0-1.
   32 3 2  24 2 -1 0-1.
   38 2 2  24 2 -1 0-1.
   42 1 2  24 2 -1 0-1.
   42 2 2  24 2 -1 0-1.
   43 1 2  24 2 -1 0-1.
   44 1 2  24 2 -1 0-1.
   44 2 2  24 2 -1 0-1.
   48 1 2  24 2 -1 0-1.
   51 1 2  24 2 -1 0-1.
   51 2 2  24 1 40 0 0.
   51 3 2  24 2 -1 0-1.
   58 1 2  24 2 -1 0-1.
   61 1 2  24 2 -1 0-1.
   62 1 2  24 2 -1 0-1.
   62 2 2  24 2 -1 0-1.
   63 1 2  24 2 -1 0-1.
   63 2 2  24 2 -1 0-1.
   63 3 2  24 2 -1 0-1.
   63 4 2  24 1 20 0 0.
   68 2 2  24 2 -1 0-1.
   69 1 2  24 2 -1 0-1.
   69 2 2  24 1 50 0 0.
   72 1 2  24 2 -1 0-1.
   76 1 2  24 2 -1 0-1.
   84 1 2  24 2 -1 0-1.
   85 1 2  24 2 -1 0-1.
   88 1 2  24 2 -1 1-1.
   90 1 2  24 2 -1 0-1.
   90 2 2  24 2 -1 0-1.
   90 3 2  24 2 -1 0-1.
   92 1 2  24 2 -1 0-1.
   96 1 2  24 2 -1 0-1.
   96 3 2  24 2 -1 0-1.
   96 4 2  24 2 -1 0-1.
   97 1 2  24 2 -1 0-1.
   99 1 2  24 1 20 0 0.
  100 1 2  24 2 -1 0-1.
  104 1 2  24 2 -1 0-1.
  104 2 2  24 2 -1 0-1.
  113 1 2  24 2 -1 0-1.
  113 2 2  24 2 -1 0-1.
  116 2 2  24 1 10 0 0.
  118 1 2  24 2 -1 0-1.
  119 1 2  24 2 -1 0-1.
  119 2 2  24 2 -1 0-1.
  120 1 2  24 2 -1 0-1.
  123 1 2  24 1  8 0 0.
  123 2 2  24 2 -1 0-1.
  124 1 2  24 2 -1 0-1.
  125 1 2  24 1  7 0 0.
  126 1 2  24 1 20 0 0.
  127 1 2  24 2 -1 0-1.
  128 1 2  24 2 -1 0-1.
  128 2 2  24 2 -1 0-1.
  130 1 2  24 2 -1 0-1.
  130 3 2  24 2 -1 0-1.
  131 2 2  24 2 -1 0-1.
  135 1 2  24 1  2 0 0.
  135 2 2  24 2 -1 0-1.
  135 3 2  24 2 -1 0-1.
  136 1 2  24 1 20 0 0.
  136 2 2  24 2 -1 0-1.
  138 1 2  24 2 -1 0-1.
  138 2 2  24 2 -1 0-1.
  141 1 2  24 1  3 0 0.
  141 2 2  24 1 10 0 0.
  141 3 2  24 1 36 0 0.
  141 4 2  24 2 -1 0-1.
  142 1 2  24 2 -1 0-1.
  143 1 2  24 1 16 0 0.
  143 3 2  24 2 -1 0-1.
  144 2 2  24 1 16 0 0.
  146 1 2  24 2 -1 0-1.
  150 1 2  24 2 -1 0-1.
  150 2 2  24 2 -1 0-1.
  152 1 2  24 1 25 0 0.
  157 1 2  24 2 -1 0-1.
  159 1 2  24 2 -1 0-1.
  159 2 2  24 2 -1 0-1.
  160 1 2  24 2 -1 0-1.
  160 2 2  24 2 -1 0-1.
  161 1 2  24 2 -1 0-1.
  161 2 2  24 1 20 0 0.
  162 1 2  24 1 16 0 0.
  163 1 2  24 2 -1 0-1.
  163 2 2  24 2 -1 0-1.
  163 3 2  24 2 -1 0-1.
  165 1 2  24 2 -1 0-1.
  165 2 2  24 2 -1 0-1.
  165 3 2  24 2 -1 0-1.
  165 4 2  24 2 -1 0-1.
  165 5 2  24 2 -1 0-1.
  166 2 2  24 2 -1 0-1.
  170 2 2  24 2 -1 0-1.
  171 1 2  24 2 -1 0-1.
  173 1 2  24 2 -1 0-1.
  173 2 2  24 2 -1 0-1.
  179 1 2  24 2 -1 0-1.
  179 2 2  24 2 -1 0-1.
  179 3 2  24 2 -1 0-1.
  180 1 2  24 2 -1 0-1.
  181 1 2  24 2 -1 0-1.
  182 1 2  24 2 -1 0-1.
  183 1 2  24 2 -1 0-1.
  185 1 2  24 2 -1 0-1.
  185 2 2  24 2 -1 0-1.
  185 3 2  24 2 -1 0-1.
  185 4 2  24 2 -1 0-1.
  187 1 2  24 2 -1 0-1.
  187 2 2  24 1 40 0 0.
  190 1 2  24 1  1 0 0.
  191 1 2  24 1 11 0 0.
