    1 1 1  24 2 -1 0-1.
    2 3 1  24 2 -1 0-1.
    2 4 1  24 2 -1 0-1.
    5 1 1  24 2 -1 0-1.
   25 1 1  24 2 -1 1-1.
   25 2 1  24 2 -1 0-1.
   26 3 1  24 2 -1 0-1.
   28 1 1  24 2 -1 0-1.
   28 2 1  24 2 -1 0-1.
   30 2 1  24 2 -1 0-1.
   31 1 1  24 2 -1 0-1.
   35 1 1  24 2 -1 0-1.
   41 1 1  24 2 -1 0-1.
   41 2 1  24 2 -1 0-1.
   41 3 1  24 2 -1 0-1.
   46 2 1  24 2 -1 0-1.
   48 1 1  24 2 -1 0-1.
   51 1 1  24 2 -1 0-1.
   53 1 1  24 2 -1 0-1.
   53 2 1  24 2 -1 0-1.
   55 1 1  24 2 -1 0-1.
   62 1 1  24 2 -1 0-1.
   62 2 1  24 2 -1 0-1.
   62 3 1  24 2 -1 0-1.
   68 1 1  24 2 -1 0-1.
   70 1 1  24 2 -1 0-1.
   70 2 1  24 2 -1 0-1.
   72 1 1  24 2 -1 0-1.
   72 3 1  24 2 -1 0-1.
   76 1 1  24 1 50 0 0.
   76 2 1  24 1 25 0 0.
   86 1 1  24 2 -1 0-1.
   86 2 1  24 2 -1 0-1.
   87 1 1  24 2 -1 0-1.
   90 1 1  24 2 -1 0-1.
   91 1 1  24 1 40 0 0.
   91 2 1  24 1 16 0 0.
   92 1 1  24 2 -1 0-1.
   94 1 1  24 2 -1 0-1.
   98 1 1  24 1 15 0 0.
   99 2 1  24 2 -1 0-1.
  100 1 1  24 2 -1 0-1.
  106 1 1  24 2 -1 0-1.
  116 1 1  24 2 -1 1-1.
  117 2 1  24 1 40 0 0.
  119 1 1  24 2 -1 0-1.
  122 1 1  24 2 -1 0-1.
  123 1 1  24 2 -1 0-1.
  129 1 1  24 1  6 0 0.
  129 3 1  24 2 -1 0-1.
  130 1 1  24 2 -1 0-1.
  130 4 1  24 2 -1 0-1.
  131 1 1  24 1 20 0 0.
  131 2 1  24 2 -1 0-1.
  132 1 1  24 1  8 0 0.
  132 2 1  24 1  8 0 0.
  132 3 1  24 2 -1 0-1.
  134 1 1  24 2 -1 0-1.
  135 2 1  24 2 -1 0-1.
  136 1 1  24 1 24 0 0.
  136 2 1  24 1 40 0 0.
  136 3 1  24 2 -1 0-1.
  137 1 1  24 2 -1 0-1.
  138 1 1  24 1 16 0 0.
  140 1 1  24 2 -1 0-1.
  148 1 1  24 2 -1 0-1.
  149 2 1  24 2 -1 0-1.
  153 1 1  24 2 -1 0-1.
  153 2 1  24 2 -1 0-1.
  154 1 1  24 2 -1 0-1.
  162 1 1  24 2 -1 0-1.
  162 2 1  24 2 -1 0-1.
  163 1 1  24 2 -1 0-1.
  163 2 1  24 2 -1 0-1.
  168 1 1  24 1 40 0 0.
  169 2 1  24 2 -1 0-1.
  169 3 1  24 2 -1 0-1.
  169 4 1  24 2 -1 0-1.
  170 1 1  24 2 -1 0-1.
  170 2 1  24 2 -1 0-1.
  172 1 1  24 2 -1 0-1.
  177 1 1  24 2 -1 0-1.
  186 1 1  24 2 -1 0-1.
  186 2 1  24 2 -1 0-1.
  187 1 1  24 2 -1 0-1.
  187 2 1  24 2 -1 0-1.
  187 3 1  24 2 -1 0-1.
  188 1 1  24 2 -1 0-1.
  189 1 1  24 2 -1 0-1.
  190 1 1  24 2 -1 0-1.
  195 1 1  24 1 40 0 0.
  195 2 1  24 1 16 0 0.
  201 1 1  24 2 -1 0-1.
  202 1 1  24 2 -1 0-1.
  202 3 1  24 2 -1 0-1.
  203 1 1  24 2 -1 0-1.
  205 1 1  24 2 -1 0-1.
  207 1 1  24 1  1 0 0.
  209 1 1  24 2 -1 1-1.
  210 1 1  24 2 -1 0-1.
  214 1 1  24 1 24 0 0.
  214 2 1  24 2 -1 0-1.
  214 4 1  24 2 -1 0-1.
  215 3 1  24 2 -1 0-1.
  216 1 1  24 2 -1 0-1.
  216 2 1  24 2 -1 0-1.
  220 1 1  24 2 -1 0-1.
  222 1 1  24 2 -1 0-1.
  222 2 1  24 2 -1 0-1.
  225 1 1  24 2 -1 0-1.
  225 2 1  24 2 -1 0-1.
  226 1 1  24 1 40 0 0.
  232 1 1  24 2 -1 0-1.
  234 1 1  24 2 -1 0-1.
  234 2 1  24 2 -1 0-1.
  234 3 1  24 2 -1 0-1.
  235 1 1  24 2 -1 0-1.
  235 2 1  24 2 -1 0-1.
  243 1 1  24 1 40 0 0.
  244 1 1  24 2 -1 0-1.
  244 2 1  24 2 -1 0-1.
  246 3 1  24 2 -1 0-1.
  247 1 1  24 2 -1 0-1.
  247 2 1  24 2 -1 0-1.
  247 3 1  24 2 -1 0-1.
  248 1 1  24 2 -1 0-1.
  249 1 1  24 2 -1 0-1.
  250 1 1  24 2 -1 0-1.
  250 2 1  24 1  8 0 0.
  251 1 1  24 1 20 0 0.
  253 1 1  24 2 -1 0-1.
  253 2 1  24 1 32 0 0.
  253 3 1  24 2 -1 0-1.
  253 4 1  24 2 -1 0-1.
  254 1 1  24 2 -1 0-1.
  255 1 1  24 2 -1 0-1.
  255 2 1  24 2 -1 0-1.
  258 1 1  24 2 -1 0-1.
  258 2 1  24 1 25 0 0.
  259 1 1  24 2 -1 0-1.
  259 2 1  24 2 -1 0-1.
  261 1 1  24 1 37 0 0.
  262 1 1  24 1 24 0 0.
  262 2 1  24 1  8 0 0.
  264 1 1  24 1 35 0 0.
  264 2 1  24 1 22 0 0.
  290 1 1  24 2 -1 0-1.
  294 1 1  24 2 -1 0-1.
  295 1 1  24 2 -1 0-1.
  303 1 1  24 1 40 0 0.
  310 1 1  24 1 40 0 0.
  311 1 1  24 1 50 0 0.
  311 2 1  24 2 -1 0-1.
  312 1 1  24 1 35 0 0.
  312 2 1  24 1 40 0 0.
  316 1 1  24 1 32 0 0.
  318 1 1  24 1 40 0 0.
